id;maxPersons;maxWeight;music;currentFloor
1;15;1200;Hells Bells - ACDC;1
2;15;1200;Hells Bells - ACDC;1
3;15;1200;Hells Bells - ACDC;1
4;15;1200;Hells Bells - ACDC;4
5;15;1200;Hells Bells - ACDC;5
6;15;1200;Hells Bells - ACDC;6
7;15;1200;Hells Bells - ACDC;7
8;15;1200;Hells Bells - ACDC;8
9;15;1200;Hells Bells - ACDC;9
10;15;1200;Hells Bells - ACDC;10
11;15;1200;Hells Bells - ACDC;11
12;15;1200;Hells Bells - ACDC;12
13;15;1200;Hells Bells - ACDC;13
14;15;1200;Hells Bells - ACDC;14
15;15;1200;Hells Bells - ACDC;15
16;15;1200;Hells Bells - ACDC;16
17;15;1200;Hells Bells - ACDC;17
18;15;1200;Hells Bells - ACDC;18
19;15;1200;Hells Bells - ACDC;19
20;15;1200;Hells Bells - ACDC;20
21;30;2400;Hells Bells - ACDC;21
22;30;2400;Hells Bells - ACDC;22
23;30;2400;Hells Bells - ACDC;23
24;30;2400;Hells Bells - ACDC;24
25;30;2400;Hells Bells - ACDC;25
26;30;2400;Hells Bells - ACDC;26
27;30;2400;Hells Bells - ACDC;27
28;30;2400;Hells Bells - ACDC;28
29;30;2400;Hells Bells - ACDC;29
30;30;2400;Hells Bells - ACDC;30
