id;maxPersons;maxWeight;music;currentFloor
01;15;1200;Hells Bells - ACDC;01
02;15;1200;Hells Bells - ACDC;02
03;15;1200;Hells Bells - ACDC;03
04;15;1200;Hells Bells - ACDC;04
05;15;1200;Hells Bells - ACDC;05
06;15;1200;Hells Bells - ACDC;06
07;15;1200;Hells Bells - ACDC;07
08;15;1200;Hells Bells - ACDC;08
09;15;1200;Hells Bells - ACDC;09
10;15;1200;Hells Bells - ACDC;10
11;15;1200;Hells Bells - ACDC;11
12;15;1200;Hells Bells - ACDC;12
13;15;1200;Hells Bells - ACDC;13
14;15;1200;Hells Bells - ACDC;14
15;15;1200;Hells Bells - ACDC;15
16;15;1200;Hells Bells - ACDC;16
17;15;1200;Hells Bells - ACDC;17
18;15;1200;Hells Bells - ACDC;18
19;15;1200;Hells Bells - ACDC;19
20;15;1200;Hells Bells - ACDC;20
21;15;1200;Hells Bells - ACDC;21
22;15;1200;Hells Bells - ACDC;22
23;15;1200;Hells Bells - ACDC;23
24;15;1200;Hells Bells - ACDC;24
25;15;1200;Hells Bells - ACDC;25
26;15;1200;Hells Bells - ACDC;26
27;15;1200;Hells Bells - ACDC;27
28;15;1200;Hells Bells - ACDC;28
29;15;1200;Hells Bells - ACDC;29
30;15;1200;Hells Bells - ACDC;30
